Woolworths,"-Great working environment with very good support from co workers
-Get to travel and meet new people from clientele base, from metropolitan to rural areas.
-Great remuneration as they offer excellent training and support
-Company notebook, ipad and business phone provided.
-Petrol subsidy and accommodation for extended travel
-A lot of driving so be prepared to service your car more often. However that is not too bad thing if you like driving.
-Expect the unexpected, the workplace is very dynamic. However it will allow you to thrive and grow when you go into the deep end.",5.0,2 years ago,"2020, January"
Woolworths,"I enjoyed what I am doing, it's a tough job, but what I have loved the most is the camaraderie within the company. Managers are indeed helpful and very supportive in your career growth.
The challenges is that you have to lift heavy things from time to time. You also need to adopt the fast pace environment, otherwise, you will be left behind.",3.0,4 years ago,"2020, January"
Woolworths,"Working with staff everyday. The ability to work in different departments..
Working with new management all the time. In particular store managers and second in charges. Too many changes with rules and requirements. They don't appreciate staff that had been there a long time. Too busy telling us we are easily replaced.",4.0,4 years ago,"2020, January"
Woolworths,"Great opportunities for career advancement for the right people, good team environment, stable hours, opportunities to move across divisions within company, good training and development programs. National employer gives opportunity to relocate and continue to work for the company.
Working within time frames and budget constraints, in a fast paced evolving environment. Building and developing effective teams to comply with industry standards.",4.0,4 years ago,"2020, January"
Woolworths,"During peek sales periods; casuals get great hours. Management are friendly and willing to take your considerations on board. Willing to work around you as much as possible.
During slow periods. Casuals are forgotten about. Management are constantly told to cut wages. This leaves skeleton staff that then get abused by customers when they do not get great service.
The \""rules and expectations\"" constantly change and are not explained in great detail.",3.0,4 years ago,"2020, January"
Woolworths,"Woolworths will allow room to grow for employees with great potential.. The best part is that they supply the best training for your job including workplace health and safety.
For me it was the balance between work and family",4.0,4 years ago,"2020, January"
Woolworths,"Definite opportunities for career advancement if that's what you're looking for.  I started as casual checkout operator, and now I am full-time Store Services Officer - which is store administration.
Meeting deadlines with rosters and costings.  Sometimes having to chase up various documentation from department managers.  Making sure everyone is getting paid right.",4.0,3 years ago,"2020, January"
Woolworths,"Friendly work environment, caringand understanding management
Being permanent part-time, it can be difficult sometimes to make ends meet, especially if a big bill is due.",4.0,4 years ago,"2020, January"
Woolworths,"Some of the managers are great people, having extraordinary communication and people skills. Company is always introducing something new as in processes and helping employees with the career development
If you wanna do it as a part time job, then go for it. If you want to make career of it, make sure you have 5-8 years at least in your calendar",3.0,4 years ago,"2020, January"
Woolworths,"Great experiences and memories. The things I learned well working for woolies will stick with me for life. I met and made many life long friends. Management tended to be of a good high standard that would pass on their knowledge to make the job easier.
Some days would be stressful as any job dealing with customers can be. But you always managed to get through it and would come back the next day happy.",4.0,4 years ago,"2020, January"
